box_id,neighbors,window_len,accuracy
1008,1,7,64.40501043841336
1008,0,7,63.05048335123523
1009,3,7,77.18047174986286
1010,1,7,66.36085626911316
1017,3,7,62.67071320182094
1018,1,7,
1022,3,7,70.26892430278885
1047,0,7,68.51945426983325
1057,1,7,48.91891891891892
1068,0,7,
1070,0,7,55.230352303523034
1073,1,7,
1089,1,7,63.191153238546605
1094,1,7,65.28282304099636
1096,0,7,61.59960258320915
1109,3,7,60.96756459593183
1129,3,7,63.887493721747866
1143,3,7,74.61878996556813
1147,0,7,72.51431546069756
1149,1,7,69.08337648886588
1149,0,7,77.5682382133995
1152,0,7,60.538344337227024
1155,3,7,
1158,0,7,69.31931931931932
1184,3,7,79.11330049261083
1186,0,7,68.73015873015873
1224,3,7,78.91781521184278
1262,1,7,76.0233918128655
1268,1,7,
1289,3,7,79.34343434343434
